passbook_number,farmer_name,mobile_number,village,mandal,district,survey_number,total_land_acres,latitude,longitude
PPB000236,Prakash Sharma,9522395590,Bachupally,Quthbullapur,Medchal,SY000236,7.33,17.543034,78.368353
PPB000237,Prakash Naidu,9784270103,Miyapur,Serilingampally,Hyderabad,SY000237,6.41,17.486399,78.35656
PPB000238,Venkat Varma,9325250029,Ibrahimpatnam,Ibrahimpatnam,Rangareddy,SY000238,7.34,17.182833,78.564218
PPB000239,Naresh Patel,9156915452,Suryapet,Suryapet,Suryapet,SY000239,9.78,17.144647,79.618737
PPB000240,Naveen Patel,9289539264,Nalgonda,Nalgonda,Nalgonda,SY000240,7.61,17.04589,79.260554
PPB000241,Mohan Varma,9690295939,Kondapur,Serilingampally,Hyderabad,SY000241,1.94,17.457924,78.352623
PPB000242,Mahesh Patel,9521570433,Gachibowli,Serilingampally,Hyderabad,SY000242,7.24,17.43711,78.35464
PPB000243,Ramesh Sharma,9762676586,Kondapur,Serilingampally,Hyderabad,SY000243,1.91,17.45759,78.363281
PPB000244,Ravi Verma,9104054115,Bachupally,Quthbullapur,Medchal,SY000244,2.53,17.543509,78.37164
PPB000245,Venkat Reddy,9599706296,Suryapet,Suryapet,Suryapet,SY000245,2.41,17.132025,79.614111
PPB000246,Rajesh Goud,9844431069,Bachupally,Quthbullapur,Medchal,SY000246,5.95,17.545819,78.35809
PPB000247,Rajesh Reddy,9497310324,Kondapur,Serilingampally,Hyderabad,SY000247,9.79,17.457471,78.34831
PPB000248,Vijay Verma,9418625652,Shadnagar,Shadnagar,Rangareddy,SY000248,5.01,17.065266,78.204301
PPB000249,Naresh Yadav,9902115869,Bachupally,Quthbullapur,Medchal,SY000249,3.05,17.53722,78.364742
PPB000250,Rajesh Goud,9793741608,Suryapet,Suryapet,Suryapet,SY000250,6.14,17.140336,79.62143
PPB000251,Ravi Reddy,9722332061,Kodad,Kodad,Suryapet,SY000251,9.89,16.996708,79.974945
PPB000252,Naresh Varma,9451168685,Miyapur,Serilingampally,Hyderabad,SY000252,8.71,17.496394,78.365343
PPB000253,Arjun Varma,9986162299,Kondapur,Serilingampally,Hyderabad,SY000253,6.24,17.467297,78.348004
PPB000254,Prakash Reddy,9485646799,Gachibowli,Serilingampally,Hyderabad,SY000254,5.26,17.433544,78.346959
PPB000255,Prakash Sharma,9065307450,Kodad,Kodad,Suryapet,SY000255,4.04,17.003873,79.961219
PPB000256,Naresh Reddy,9324754691,Nalgonda,Nalgonda,Nalgonda,SY000256,2.69,17.044228,79.273479
PPB000257,Arjun Goud,9508214862,Nalgonda,Nalgonda,Nalgonda,SY000257,8.02,17.050486,79.268373
PPB000258,Mahesh Naidu,9030705345,Miyapur,Serilingampally,Hyderabad,SY000258,8.41,17.496103,78.359708
PPB000259,Naveen Kumar,9357972798,Gachibowli,Serilingampally,Hyderabad,SY000259,4.15,17.43337,78.35679
PPB000260,Kiran Kumar,9602933334,Gachibowli,Serilingampally,Hyderabad,SY000260,6.86,17.440366,78.356193
PPB000261,Vijay Rao,9290349446,Kondapur,Serilingampally,Hyderabad,SY000261,9.06,17.465032,78.35518
PPB000262,Vijay Yadav,9896910858,Bachupally,Quthbullapur,Medchal,SY000262,6.83,17.548181,78.36297
PPB000263,Vijay Reddy,9545444328,Gachibowli,Serilingampally,Hyderabad,SY000263,7.89,17.448094,78.355009
PPB000264,Rajesh Patel,9207446660,Kodad,Kodad,Suryapet,SY000264,6.25,17.007895,79.97132
PPB000265,Mohan Naidu,9875842824,Ibrahimpatnam,Ibrahimpatnam,Rangareddy,SY000265,1.88,17.182559,78.567173
PPB000266,Arjun Rao,9513534655,Suryapet,Suryapet,Suryapet,SY000266,3.35,17.135881,79.627024
PPB000267,Ramesh Varma,9991738168,Nalgonda,Nalgonda,Nalgonda,SY000267,3.69,17.041081,79.274085
PPB000268,Mahesh Patel,9697252175,Miyapur,Serilingampally,Hyderabad,SY000268,6.68,17.489536,78.35969
PPB000269,Vijay Yadav,9329271296,Kondapur,Serilingampally,Hyderabad,SY000269,6.7,17.456068,78.365307
PPB000270,Ramesh Kumar,9835058300,Shadnagar,Shadnagar,Rangareddy,SY000270,6.64,17.064976,78.20887
PPB000271,Kiran Rao,9168942104,Ibrahimpatnam,Ibrahimpatnam,Rangareddy,SY000271,9.54,17.189119,78.572406
PPB000272,Anil Sharma,9257532603,Suryapet,Suryapet,Suryapet,SY000272,3.02,17.149698,79.614224
PPB000273,Prakash Goud,9215064890,Kondapur,Serilingampally,Hyderabad,SY000273,6.35,17.448959,78.348162
PPB000274,Ramesh Reddy,9676184723,Kondapur,Serilingampally,Hyderabad,SY000274,7.26,17.460606,78.352022
PPB000275,Naveen Goud,9499261891,Gachibowli,Serilingampally,Hyderabad,SY000275,3.54,17.445795,78.348855
PPB000276,Mahesh Yadav,9835642087,Kodad,Kodad,Suryapet,SY000276,9.19,17.001764,79.964613
PPB000277,Ramesh Kumar,9119721811,Bachupally,Quthbullapur,Medchal,SY000277,9.14,17.548887,78.366135
PPB000278,Kiran Verma,9012045561,Shamirpet,Shamirpet,Medchal,SY000278,1.85,17.599864,78.555918
PPB000279,Naveen Rao,9557941552,Miyapur,Serilingampally,Hyderabad,SY000279,2.02,17.494005,78.356131
PPB000280,Mohan Verma,9621202169,Shadnagar,Shadnagar,Rangareddy,SY000280,5.34,17.071379,78.203763
PPB000281,Rajesh Patel,9902771670,Kodad,Kodad,Suryapet,SY000281,1.57,17.001099,79.955247
PPB000282,Arjun Varma,9935889163,Suryapet,Suryapet,Suryapet,SY000282,5.34,17.143274,79.622828
PPB000283,Naresh Goud,9900287721,Miyapur,Serilingampally,Hyderabad,SY000283,7.76,17.492413,78.353618
PPB000284,Ramesh Goud,9386631779,Shamirpet,Shamirpet,Medchal,SY000284,5.03,17.601832,78.563941
PPB000285,Vijay Kumar,9166088019,Gachibowli,Serilingampally,Hyderabad,SY000285,9.67,17.442851,78.356702
PPB000286,Mahesh Verma,9550375899,Suryapet,Suryapet,Suryapet,SY000286,5.26,17.143143,79.624318
PPB000287,Suresh Naidu,9055488510,Gachibowli,Serilingampally,Hyderabad,SY000287,9.07,17.439948,78.355337
PPB000288,Suresh Yadav,9933163735,Shadnagar,Shadnagar,Rangareddy,SY000288,1.97,17.068289,78.213533
PPB000289,Suresh Verma,9798270808,Kodad,Kodad,Suryapet,SY000289,9.42,17.004776,79.964659
PPB000290,Arjun Rao,9922169958,Suryapet,Suryapet,Suryapet,SY000290,8.93,17.138373,79.62218
PPB000291,Kiran Sharma,9547226984,Bachupally,Quthbullapur,Medchal,SY000291,8.59,17.546956,78.363278
PPB000292,Naveen Naidu,9339452288,Suryapet,Suryapet,Suryapet,SY000292,7.25,17.136448,79.612308
PPB000293,Srikanth Verma,9996846081,Ibrahimpatnam,Ibrahimpatnam,Rangareddy,SY000293,1.23,17.182907,78.575405
PPB000294,Kiran Rao,9442043805,Bachupally,Quthbullapur,Medchal,SY000294,8.33,17.53805,78.374361
PPB000295,Naresh Naidu,9863840666,Suryapet,Suryapet,Suryapet,SY000295,9.61,17.149516,79.616253
PPB000296,Ramesh Kumar,9439735989,Suryapet,Suryapet,Suryapet,SY000296,2.77,17.144498,79.61387
PPB000297,Ravi Reddy,9228160648,Nalgonda,Nalgonda,Nalgonda,SY000297,3.38,17.043219,79.27392
PPB000298,Anil Verma,9202590947,Kondapur,Serilingampally,Hyderabad,SY000298,8.11,17.459003,78.347458
PPB000299,Srikanth Naidu,9281826886,Ibrahimpatnam,Ibrahimpatnam,Rangareddy,SY000299,1.83,17.184424,78.566267
PPB000300,Anil Patel,9439878015,Ibrahimpatnam,Ibrahimpatnam,Rangareddy,SY000300,5.01,17.19809,78.574274
PPB000301,Mahesh Kumar,9561648408,Kodad,Kodad,Suryapet,SY000301,8.4,16.995499,79.971056
PPB000302,Vijay Kumar,9435811288,Nalgonda,Nalgonda,Nalgonda,SY000302,1.07,17.041309,79.270407
PPB000303,Naresh Sharma,9138612075,Bachupally,Quthbullapur,Medchal,SY000303,1.34,17.537465,78.36056
PPB000304,Srikanth Reddy,9934667665,Shamirpet,Shamirpet,Medchal,SY000304,1.15,17.598166,78.565697
PPB000305,Suresh Varma,9015814491,Kodad,Kodad,Suryapet,SY000305,3.53,17.006534,79.962628
PPB000306,Vijay Rao,9832684245,Kondapur,Serilingampally,Hyderabad,SY000306,9.62,17.448223,78.363495
PPB000307,Suresh Kumar,9099688143,Miyapur,Serilingampally,Hyderabad,SY000307,7.73,17.504071,78.353877
PPB000308,Venkat Goud,9222394312,Shadnagar,Shadnagar,Rangareddy,SY000308,7.04,17.071346,78.196088
PPB000309,Vijay Goud,9141413975,Suryapet,Suryapet,Suryapet,SY000309,4.21,17.143426,79.614691
PPB000310,Prakash Reddy,9357759492,Shamirpet,Shamirpet,Medchal,SY000310,6.09,17.59199,78.561327
PPB000311,Ravi Kumar,9533645257,Shadnagar,Shadnagar,Rangareddy,SY000311,5.17,17.067175,78.201109
PPB000312,Suresh Rao,9914283411,Suryapet,Suryapet,Suryapet,SY000312,9.03,17.146992,79.622633
PPB000313,Prakash Sharma,9930848872,Kodad,Kodad,Suryapet,SY000313,4.29,16.992466,79.970443
PPB000314,Ravi Verma,9881658039,Shamirpet,Shamirpet,Medchal,SY000314,7.16,17.599844,78.557807
PPB000315,Ravi Varma,9927503731,Miyapur,Serilingampally,Hyderabad,SY000315,3.38,17.49068,78.360372
PPB000316,Venkat Patel,9677005184,Suryapet,Suryapet,Suryapet,SY000316,8.51,17.135266,79.620887
PPB000317,Rajesh Sharma,9591846386,Miyapur,Serilingampally,Hyderabad,SY000317,4.18,17.503354,78.356737
PPB000318,Venkat Varma,9082723184,Nalgonda,Nalgonda,Nalgonda,SY000318,2.9,17.043738,79.264244
PPB000319,Naveen Naidu,9651777392,Gachibowli,Serilingampally,Hyderabad,SY000319,6.83,17.438318,78.343773
PPB000320,Prakash Varma,9228092024,Miyapur,Serilingampally,Hyderabad,SY000320,9.3,17.496333,78.355109
PPB000321,Naveen Kumar,9413797723,Kodad,Kodad,Suryapet,SY000321,8.47,17.000017,79.970892
PPB000322,Prakash Goud,9425799136,Miyapur,Serilingampally,Hyderabad,SY000322,4.47,17.488171,78.351047
PPB000323,Naveen Sharma,9291279908,Suryapet,Suryapet,Suryapet,SY000323,5.53,17.13235,79.619645
PPB000324,Venkat Varma,9806865086,Miyapur,Serilingampally,Hyderabad,SY000324,3.07,17.502046,78.362791
PPB000325,Anil Varma,9916247314,Shadnagar,Shadnagar,Rangareddy,SY000325,6.38,17.070875,78.200156
PPB000326,Mohan Kumar,9981806356,Kondapur,Serilingampally,Hyderabad,SY000326,4.26,17.451096,78.359032
PPB000327,Kiran Goud,9695946368,Shamirpet,Shamirpet,Medchal,SY000327,8.05,17.594349,78.562404
PPB000328,Vijay Yadav,9495621372,Suryapet,Suryapet,Suryapet,SY000328,1.9,17.140167,79.625722
PPB000329,Prakash Kumar,9260127961,Suryapet,Suryapet,Suryapet,SY000329,1.58,17.134435,79.611601
PPB000330,Mohan Sharma,9698490277,Kondapur,Serilingampally,Hyderabad,SY000330,1.1,17.465011,78.364615
PPB000331,Kiran Naidu,9098839205,Suryapet,Suryapet,Suryapet,SY000331,3.15,17.130006,79.613149
PPB000332,Arjun Sharma,9566938011,Shamirpet,Shamirpet,Medchal,SY000332,5.95,17.599223,78.566182
PPB000333,Anil Patel,9439376904,Kodad,Kodad,Suryapet,SY000333,2.58,16.998125,79.966173
PPB000334,Kiran Patel,9184894769,Suryapet,Suryapet,Suryapet,SY000334,5.35,17.134865,79.616793
PPB000335,Naveen Verma,9907141633,Nalgonda,Nalgonda,Nalgonda,SY000335,8.2,17.048249,79.264062
PPB000336,Ramesh Yadav,9341651827,Suryapet,Suryapet,Suryapet,SY000336,3.82,17.134371,79.621474
PPB000337,Mohan Naidu,9733343333,Miyapur,Serilingampally,Hyderabad,SY000337,8.53,17.493121,78.362579
PPB000338,Venkat Reddy,9790807595,Gachibowli,Serilingampally,Hyderabad,SY000338,5.43,17.449807,78.35684
PPB000339,Vijay Rao,9846392086,Shamirpet,Shamirpet,Medchal,SY000339,5.3,17.595515,78.56505
PPB000340,Naresh Rao,9718750036,Shadnagar,Shadnagar,Rangareddy,SY000340,6.23,17.066509,78.207256
PPB000341,Ravi Goud,9434795527,Shamirpet,Shamirpet,Medchal,SY000341,4.82,17.593082,78.570044
PPB000342,Naresh Sharma,9472929314,Ibrahimpatnam,Ibrahimpatnam,Rangareddy,SY000342,8.24,17.191107,78.579126
PPB000343,Ravi Rao,9702672885,Bachupally,Quthbullapur,Medchal,SY000343,8.07,17.542001,78.368243
PPB000344,Ramesh Sharma,9120347175,Kodad,Kodad,Suryapet,SY000344,3.34,16.995206,79.96615
PPB000345,Anil Kumar,9615939982,Shamirpet,Shamirpet,Medchal,SY000345,9.81,17.590392,78.561502
PPB000346,Vijay Verma,9169472256,Suryapet,Suryapet,Suryapet,SY000346,6.68,17.141433,79.626978
PPB000347,Suresh Rao,9535544964,Gachibowli,Serilingampally,Hyderabad,SY000347,8.99,17.445719,78.357675
PPB000348,Srikanth Verma,9622023413,Kodad,Kodad,Suryapet,SY000348,2.5,16.99006,79.956276
PPB000349,Srikanth Kumar,9068114921,Nalgonda,Nalgonda,Nalgonda,SY000349,6.89,17.057709,79.263187
PPB000350,Mohan Yadav,9722820055,Bachupally,Quthbullapur,Medchal,SY000350,8.78,17.545344,78.374418
PPB000351,Srikanth Verma,9282997968,Shamirpet,Shamirpet,Medchal,SY000351,6.76,17.595376,78.573178
PPB000352,Srikanth Naidu,9174564240,Nalgonda,Nalgonda,Nalgonda,SY000352,1.0,17.056308,79.273959
PPB000353,Kiran Verma,9807740649,Ibrahimpatnam,Ibrahimpatnam,Rangareddy,SY000353,3.08,17.180144,78.569473
PPB000354,Venkat Goud,9663266341,Shadnagar,Shadnagar,Rangareddy,SY000354,4.8,17.064791,78.210291
PPB000355,Arjun Yadav,9484631224,Kodad,Kodad,Suryapet,SY000355,1.99,16.997107,79.964055
PPB000356,Vijay Naidu,9502080214,Kodad,Kodad,Suryapet,SY000356,3.42,17.002304,79.969542
PPB000357,Suresh Rao,9073564757,Bachupally,Quthbullapur,Medchal,SY000357,7.27,17.536635,78.358604
PPB000358,Ramesh Yadav,9618723460,Miyapur,Serilingampally,Hyderabad,SY000358,2.1,17.501363,78.351979
PPB000359,Mahesh Kumar,9371837645,Nalgonda,Nalgonda,Nalgonda,SY000359,2.43,17.054565,79.271894
PPB000360,Srikanth Reddy,9474350313,Suryapet,Suryapet,Suryapet,SY000360,6.7,17.13649,79.613347
PPB000361,Prakash Reddy,9630097925,Shamirpet,Shamirpet,Medchal,SY000361,7.94,17.589674,78.564998
PPB000362,Anil Kumar,9052812735,Kodad,Kodad,Suryapet,SY000362,9.84,17.003771,79.970134
PPB000363,Mohan Naidu,9065240778,Nalgonda,Nalgonda,Nalgonda,SY000363,3.65,17.053941,79.260796
PPB000364,Srikanth Patel,9574982182,Miyapur,Serilingampally,Hyderabad,SY000364,5.04,17.502388,78.357832
PPB000365,Ramesh Goud,9620959351,Nalgonda,Nalgonda,Nalgonda,SY000365,6.92,17.050779,79.26475
PPB000366,Naveen Verma,9829456511,Suryapet,Suryapet,Suryapet,SY000366,5.71,17.131334,79.626704
PPB000367,Ravi Kumar,9317310967,Miyapur,Serilingampally,Hyderabad,SY000367,5.73,17.500026,78.352119
PPB000368,Mahesh Varma,9103717058,Ibrahimpatnam,Ibrahimpatnam,Rangareddy,SY000368,7.69,17.197809,78.578441
PPB000369,Naresh Varma,9480141381,Kondapur,Serilingampally,Hyderabad,SY000369,1.91,17.45262,78.353707
PPB000370,Srikanth Naidu,9928861957,Bachupally,Quthbullapur,Medchal,SY000370,7.32,17.544541,78.359082
PPB000371,Srikanth Sharma,9852897558,Miyapur,Serilingampally,Hyderabad,SY000371,9.92,17.492493,78.354434
PPB000372,Naresh Patel,9939836845,Shadnagar,Shadnagar,Rangareddy,SY000372,9.65,17.06895,78.202942
PPB000373,Kiran Varma,9082404335,Kondapur,Serilingampally,Hyderabad,SY000373,1.2,17.464439,78.359794
PPB000374,Venkat Goud,9889921075,Shamirpet,Shamirpet,Medchal,SY000374,2.4,17.59,78.572793
PPB000375,Mahesh Yadav,9419693157,Bachupally,Quthbullapur,Medchal,SY000375,2.56,17.552514,78.370792
PPB000376,Naresh Reddy,9940961055,Kodad,Kodad,Suryapet,SY000376,8.92,16.996686,79.973605
PPB000377,Naresh Naidu,9906048058,Gachibowli,Serilingampally,Hyderabad,SY000377,6.08,17.436637,78.352855
PPB000378,Ramesh Sharma,9799813646,Miyapur,Serilingampally,Hyderabad,SY000378,2.33,17.492723,78.356517
PPB000379,Srikanth Sharma,9416862278,Kondapur,Serilingampally,Hyderabad,SY000379,2.78,17.455906,78.357427
PPB000380,Prakash Goud,9331465911,Suryapet,Suryapet,Suryapet,SY000380,7.05,17.138471,79.616966
PPB000381,Anil Varma,9042597927,Ibrahimpatnam,Ibrahimpatnam,Rangareddy,SY000381,1.4,17.196363,78.565994
PPB000382,Ravi Reddy,9103924051,Ibrahimpatnam,Ibrahimpatnam,Rangareddy,SY000382,3.75,17.189424,78.568638
PPB000383,Mahesh Naidu,9884879206,Suryapet,Suryapet,Suryapet,SY000383,6.25,17.143271,79.61087
PPB000384,Ramesh Yadav,9394070164,Miyapur,Serilingampally,Hyderabad,SY000384,6.97,17.504257,78.354204
PPB000385,Ramesh Yadav,9636815798,Gachibowli,Serilingampally,Hyderabad,SY000385,1.79,17.434078,78.358236
PPB000386,Venkat Kumar,9038457620,Suryapet,Suryapet,Suryapet,SY000386,4.12,17.137038,79.622505
PPB000387,Srikanth Yadav,9046084325,Bachupally,Quthbullapur,Medchal,SY000387,9.07,17.549139,78.358756
PPB000388,Srikanth Varma,9363926495,Shadnagar,Shadnagar,Rangareddy,SY000388,5.04,17.062635,78.208049
PPB000389,Srikanth Naidu,9248262925,Kodad,Kodad,Suryapet,SY000389,1.61,16.998659,79.969389
PPB000390,Anil Rao,9056647423,Miyapur,Serilingampally,Hyderabad,SY000390,1.96,17.489695,78.362249
PPB000391,Prakash Yadav,9999393305,Kodad,Kodad,Suryapet,SY000391,1.72,17.003597,79.957682
PPB000392,Vijay Patel,9267722330,Kodad,Kodad,Suryapet,SY000392,4.68,17.007376,79.973509
PPB000393,Mahesh Naidu,9312797573,Shadnagar,Shadnagar,Rangareddy,SY000393,4.85,17.075524,78.207159
PPB000394,Mohan Patel,9699988081,Shadnagar,Shadnagar,Rangareddy,SY000394,5.06,17.07654,78.195848
PPB000395,Srikanth Goud,9608680347,Bachupally,Quthbullapur,Medchal,SY000395,4.58,17.542091,78.373552
PPB000396,Ravi Sharma,9490827718,Nalgonda,Nalgonda,Nalgonda,SY000396,2.02,17.055575,79.275757
PPB000397,Ravi Sharma,9657027937,Suryapet,Suryapet,Suryapet,SY000397,1.81,17.136481,79.622972
PPB000398,Mohan Reddy,9117518689,Miyapur,Serilingampally,Hyderabad,SY000398,9.55,17.493574,78.354612
PPB000399,Venkat Patel,9922220644,Miyapur,Serilingampally,Hyderabad,SY000399,7.57,17.505219,78.352776
PPB000400,Suresh Rao,9309407778,Miyapur,Serilingampally,Hyderabad,SY000400,8.27,17.49816,78.356869
PPB000401,Prakash Verma,9767199038,Bachupally,Quthbullapur,Medchal,SY000401,3.5,17.548573,78.373402
PPB000402,Ramesh Rao,9205020994,Bachupally,Quthbullapur,Medchal,SY000402,3.98,17.537754,78.359178
PPB000403,Ravi Yadav,9999827950,Miyapur,Serilingampally,Hyderabad,SY000403,1.84,17.491986,78.354371
PPB000404,Naresh Reddy,9681472145,Shadnagar,Shadnagar,Rangareddy,SY000404,5.74,17.070493,78.208917
PPB000405,Ramesh Reddy,9981794695,Kodad,Kodad,Suryapet,SY000405,3.34,16.999503,79.967465
PPB000406,Prakash Varma,9787729343,Miyapur,Serilingampally,Hyderabad,SY000406,1.01,17.48648,78.359509
PPB000407,Mohan Naidu,9966055830,Gachibowli,Serilingampally,Hyderabad,SY000407,6.77,17.4439,78.343988
PPB000408,Kiran Yadav,9885015569,Gachibowli,Serilingampally,Hyderabad,SY000408,6.54,17.430682,78.342413
PPB000409,Naresh Patel,9770272785,Ibrahimpatnam,Ibrahimpatnam,Rangareddy,SY000409,5.16,17.196283,78.580556
PPB000410,Naresh Goud,9495880395,Kondapur,Serilingampally,Hyderabad,SY000410,8.2,17.465761,78.353072
PPB000411,Kiran Kumar,9568299629,Miyapur,Serilingampally,Hyderabad,SY000411,2.05,17.501647,78.353166
PPB000412,Mohan Kumar,9461735743,Ibrahimpatnam,Ibrahimpatnam,Rangareddy,SY000412,5.73,17.1835,78.569484
PPB000413,Arjun Naidu,9178078235,Kondapur,Serilingampally,Hyderabad,SY000413,9.31,17.462649,78.356473
PPB000414,Ravi Reddy,9823076810,Ibrahimpatnam,Ibrahimpatnam,Rangareddy,SY000414,3.8,17.180881,78.578962
PPB000415,Anil Verma,9018409435,Gachibowli,Serilingampally,Hyderabad,SY000415,2.8,17.435831,78.349546
PPB000416,Naveen Reddy,9422410988,Nalgonda,Nalgonda,Nalgonda,SY000416,1.92,17.050851,79.267987
PPB000417,Ravi Yadav,9932149587,Shamirpet,Shamirpet,Medchal,SY000417,1.46,17.58528,78.573066
PPB000418,Suresh Sharma,9016629979,Kondapur,Serilingampally,Hyderabad,SY000418,4.2,17.454647,78.349963
PPB000419,Suresh Verma,9921717477,Suryapet,Suryapet,Suryapet,SY000419,3.09,17.134476,79.627222
PPB000420,Kiran Patel,9625577017,Kodad,Kodad,Suryapet,SY000420,2.02,16.997573,79.971915
PPB000421,Arjun Patel,9992816158,Shamirpet,Shamirpet,Medchal,SY000421,6.85,17.600549,78.565655
PPB000422,Prakash Sharma,9393827615,Shadnagar,Shadnagar,Rangareddy,SY000422,2.87,17.073881,78.203623
PPB000423,Prakash Patel,9832197199,Shadnagar,Shadnagar,Rangareddy,SY000423,5.17,17.071102,78.21144
PPB000424,Kiran Sharma,9191965701,Miyapur,Serilingampally,Hyderabad,SY000424,2.96,17.488778,78.358615
PPB000425,Arjun Rao,9278469973,Kondapur,Serilingampally,Hyderabad,SY000425,2.85,17.465549,78.351995
PPB000426,Venkat Sharma,9519098624,Shamirpet,Shamirpet,Medchal,SY000426,1.56,17.602722,78.574358
PPB000427,Mohan Goud,9514036965,Kondapur,Serilingampally,Hyderabad,SY000427,7.41,17.456121,78.354704
PPB000428,Naveen Rao,9723865624,Bachupally,Quthbullapur,Medchal,SY000428,9.98,17.549401,78.359686
PPB000429,Naveen Kumar,9276212679,Gachibowli,Serilingampally,Hyderabad,SY000429,9.37,17.442565,78.347988
PPB000430,Srikanth Verma,9653269097,Shadnagar,Shadnagar,Rangareddy,SY000430,8.62,17.064735,78.205035
PPB000431,Venkat Goud,9950097519,Shadnagar,Shadnagar,Rangareddy,SY000431,5.33,17.07381,78.197842
PPB000432,Naresh Yadav,9781891371,Suryapet,Suryapet,Suryapet,SY000432,7.16,17.140784,79.621593
PPB000433,Ramesh Patel,9807787956,Kodad,Kodad,Suryapet,SY000433,4.18,17.007555,79.960892
PPB000434,Ramesh Varma,9494079290,Miyapur,Serilingampally,Hyderabad,SY000434,6.91,17.491835,78.361748
PPB000435,Kiran Verma,9128144294,Kondapur,Serilingampally,Hyderabad,SY000435,3.48,17.453139,78.360829
PPB000436,Ravi Varma,9275243728,Kodad,Kodad,Suryapet,SY000436,8.76,16.994857,79.956688
PPB000437,Prakash Rao,9766372395,Miyapur,Serilingampally,Hyderabad,SY000437,1.49,17.491288,78.363391
PPB000438,Ravi Verma,9674783667,Kondapur,Serilingampally,Hyderabad,SY000438,3.36,17.458609,78.354695
PPB000439,Venkat Verma,9658018569,Shamirpet,Shamirpet,Medchal,SY000439,9.26,17.601867,78.561699
PPB000440,Arjun Reddy,9496739385,Shamirpet,Shamirpet,Medchal,SY000440,7.1,17.604564,78.561265
PPB000441,Naveen Kumar,9106181753,Kondapur,Serilingampally,Hyderabad,SY000441,7.53,17.453038,78.346681
PPB000442,Suresh Kumar,9939111926,Kodad,Kodad,Suryapet,SY000442,6.91,17.005998,79.966321
PPB000443,Venkat Reddy,9244717465,Miyapur,Serilingampally,Hyderabad,SY000443,3.32,17.501615,78.352546
PPB000444,Rajesh Sharma,9504427173,Kondapur,Serilingampally,Hyderabad,SY000444,6.49,17.451569,78.355841
PPB000445,Srikanth Sharma,9391741011,Miyapur,Serilingampally,Hyderabad,SY000445,6.14,17.491012,78.355918
PPB000446,Ravi Kumar,9064256908,Nalgonda,Nalgonda,Nalgonda,SY000446,7.37,17.05542,79.266563
PPB000447,Naresh Reddy,9830671985,Shadnagar,Shadnagar,Rangareddy,SY000447,4.0,17.066057,78.196104
PPB000448,Anil Goud,9517432806,Gachibowli,Serilingampally,Hyderabad,SY000448,6.95,17.436077,78.346702
PPB000449,Naveen Patel,9717320309,Gachibowli,Serilingampally,Hyderabad,SY000449,3.15,17.437875,78.354755
PPB000450,Vijay Goud,9700505061,Shamirpet,Shamirpet,Medchal,SY000450,2.91,17.597777,78.565462
PPB000451,Ravi Varma,9310270790,Suryapet,Suryapet,Suryapet,SY000451,3.18,17.142976,79.610287
PPB000452,Venkat Yadav,9179291117,Kondapur,Serilingampally,Hyderabad,SY000452,6.35,17.460313,78.347262
PPB000453,Rajesh Patel,9651982530,Bachupally,Quthbullapur,Medchal,SY000453,6.34,17.54271,78.359415
PPB000454,Arjun Sharma,9258273902,Miyapur,Serilingampally,Hyderabad,SY000454,1.9,17.502947,78.359249
PPB000455,Ramesh Verma,9100219467,Miyapur,Serilingampally,Hyderabad,SY000455,7.23,17.490123,78.359797
PPB000456,Vijay Sharma,9329092791,Suryapet,Suryapet,Suryapet,SY000456,6.64,17.145652,79.616957
PPB000457,Srikanth Naidu,9318195883,Kondapur,Serilingampally,Hyderabad,SY000457,5.18,17.460529,78.350162
PPB000458,Mahesh Reddy,9277220054,Kondapur,Serilingampally,Hyderabad,SY000458,2.89,17.453028,78.358336
PPB000459,Ramesh Reddy,9082207811,Nalgonda,Nalgonda,Nalgonda,SY000459,9.06,17.054428,79.268854
PPB000460,Rajesh Naidu,9531531363,Ibrahimpatnam,Ibrahimpatnam,Rangareddy,SY000460,4.38,17.184413,78.57142
PPB000461,Ramesh Sharma,9239726527,Nalgonda,Nalgonda,Nalgonda,SY000461,7.48,17.05264,79.276511
PPB000462,Anil Rao,9090421776,Bachupally,Quthbullapur,Medchal,SY000462,2.54,17.542872,78.374728
PPB000463,Ravi Varma,9298316873,Kodad,Kodad,Suryapet,SY000463,6.32,17.00474,79.960583
PPB000464,Mohan Naidu,9356939290,Shadnagar,Shadnagar,Rangareddy,SY000464,4.76,17.060884,78.214825
PPB000465,Ramesh Sharma,9867177318,Suryapet,Suryapet,Suryapet,SY000465,7.78,17.143863,79.618132
PPB000466,Ravi Patel,9431074279,Bachupally,Quthbullapur,Medchal,SY000466,7.73,17.536488,78.366097
PPB000467,Naresh Sharma,9257016580,Miyapur,Serilingampally,Hyderabad,SY000467,3.67,17.501058,78.360961
PPB000468,Srikanth Varma,9319508501,Kodad,Kodad,Suryapet,SY000468,4.45,16.997307,79.955817
PPB000469,Ravi Goud,9183253817,Ibrahimpatnam,Ibrahimpatnam,Rangareddy,SY000469,7.64,17.195046,78.579423
PPB000470,Arjun Naidu,9554864015,Bachupally,Quthbullapur,Medchal,SY000470,4.11,17.545725,78.367534
PPB000471,Vijay Goud,9847951371,Gachibowli,Serilingampally,Hyderabad,SY000471,1.72,17.448059,78.344667
PPB000472,Suresh Rao,9412723804,Gachibowli,Serilingampally,Hyderabad,SY000472,4.75,17.443748,78.357534
